10001|10001|10001|10001|1|1|10001|2|2|3|3|3|1|2|3|1|2|2|1|1|2|2|2|2|1|2|3|3|3|10001|10001|10001|3|3|10002|10002|3|3|3|3|1|10002|10002|10001|1|1|1|10001|
10001|10001|10001|10001|10001|1|10001|2|3|3|10002|3|2|1|3|1|1|2|2|2|2|1|1|2|2|1|3|3|10001|2|2|2|3|10002|10002|3|10001|2|3|3|1|1|10002|10001|1|1|10001|10001|
10001|10001|10001|10001|3|3|3|3|3|10002|10001|3|3|3|3|3|3|3|2|1|1|2|1|3|3|10001|10001|3|3|3|2|3|3|10001|3|3|10001|2|3|3|3|3|10002|10001|10001|1|10002|10002|
10001|10001|10001|10001|2|2|3|3|10002|10001|10001|10001|10002|3|1|10002|10002|3|3|3|3|3|3|3|10001|10001|10001|10001|10001|3|3|3|10002|10001|10001|3|3|10001|2|3|3|3|3|3|3|3|10002|10002|
10001|1|1|3|3|3|10001|3|3|10001|10002|10002|3|3|1|1|10002|1|3|3|3|3|2|3|3|10001|10001|10001|2|2|3|10002|10002|3|10001|10001|3|3|3|10002|10002|3|3|3|3|10001|10001|10001|
10001|10001|1|3|10001|3|3|3|3|10002|1|1|3|10002|10002|10002|10002|1|1|3|3|2|10001|10001|3|3|10001|10001|2|3|3|3|10002|3|3|10001|10001|3|3|10002|10002|3|1|10001|10001|10001|3|3|
10001|10001|2|3|10001|10001|3|3|3|3|3|3|3|3|3|10002|1|10002|10002|10002|3|10001|10001|10001|2|3|3|3|3|3|10001|2|10001|10001|3|3|3|3|3|3|3|3|10001|10001|3|3|3|3|
10001|2|2|3|10001|10001|3|3|3|3|3|3|3|3|3|1|1|1|10002|10002|3|3|10001|2|2|3|3|3|3|10001|2|2|3|3|10002|10002|3|3|3|3|10002|10002|10001|3|3|10001|10001|3|
1|3|3|3|3|3|3|3|2|2|10001|10001|10001|3|3|3|1|3|3|10002|3|3|3|3|3|3|3|3|3|3|3|3|3|2|3|10002|10002|3|3|3|3|3|3|3|3|10001|10001|3|
1|3|10001|10001|1|1|3|3|10001|10001|10001|3|3|3|3|3|3|3|3|3|3|3|2|1|2|2|3|3|3|3|3|3|2|2|10001|3|3|3|3|3|3|3|1|10001|3|10001|10001|10002|
10001|3|3|10001|1|1|10001|3|3|10001|10001|3|2|10001|1|3|3|3|3|3|3|1|2|2|3|1|3|3|3|3|3|3|10001|10001|10001|3|3|10002|10001|10001|3|3|10001|10001|10001|10001|10002|1|
3|3|3|10001|10001|10001|10001|10001|3|10001|3|3|10001|10001|10001|10001|2|2|3|3|2|2|1|3|3|3|3|3|3|3|3|3|10001|3|3|3|3|10002|10002|1|10001|3|3|10001|10001|1|10002|10002|
3|3|3|3|3|1|1|10001|3|3|3|3|3|3|3|10002|3|10001|3|3|2|2|3|3|3|3|3|3|3|2|3|3|3|3|10001|1|3|3|10002|3|2|2|10002|3|3|3|10002|3|
2|2|3|3|3|3|3|3|3|3|3|3|10002|10002|10002|10002|3|3|3|3|3|3|3|3|3|3|3|10002|3|2|2|3|3|1|10001|10001|1|3|3|3|3|10002|10002|3|3|10001|3|3|
2|1|3|3|3|3|3|3|3|3|3|3|3|10002|10002|10002|3|3|3|1|1|1|3|3|3|10002|10002|10002|3|3|2|2|3|1|2|2|1|3|3|3|3|3|3|3|3|3|3|1|
2|1|2|3|3|3|2|2|3|2|1|1|3|3|3|10002|10002|3|3|3|3|1|2|1|3|3|10002|10002|10002|3|3|3|3|3|3|2|10001|3|3|3|3|3|3|3|3|3|1|1|
1|2|3|3|3|3|2|1|2|2|2|1|3|3|3|3|3|3|2|3|3|3|1|2|1|3|3|10002|10002|10002|3|3|3|3|3|3|3|3|3|2|3|10002|10002|3|3|1|1|1|
1|3|3|10002|3|3|3|3|3|3|3|3|2|3|3|3|2|2|2|3|3|3|3|1|1|1|3|3|10002|3|3|2|2|3|1|1|3|10001|10001|2|3|10002|10002|3|1|1|3|3|
3|3|10002|10002|10002|3|3|10001|1|3|3|3|3|3|3|2|2|2|3|3|1|1|3|3|3|3|3|3|3|3|2|2|2|3|1|10002|10002|2|2|3|3|10002|10002|3|3|3|3|3|
3|3|10002|10002|3|3|3|10001|1|10002|10002|3|3|2|3|3|3|3|3|3|1|1|3|3|3|3|1|3|3|3|2|3|3|3|3|10002|10002|10002|2|3|3|10002|10002|10002|3|3|3|3|
3|3|3|3|3|1|3|3|1|10001|10002|3|3|2|2|3|3|3|3|1|10003|10003|10003|10003|10003|10003|10003|1|1|3|3|3|3|3|3|3|10002|3|3|3|3|3|3|3|1|2|2|3|
3|3|3|3|3|1|1|3|10001|3|3|3|2|2|2|3|3|3|1|1|10003|10003|10003|10003|10003|10003|10003|10003|1|3|2|1|1|2|3|3|3|3|3|3|3|3|3|1|2|1|1|2|
3|10001|3|3|10001|10001|10001|3|3|3|3|2|2|2|3|3|3|3|1|1|10003|10003|10003|10003|10003|10003|10003|10003|3|3|1|2|2|1|3|3|3|3|10002|10002|3|3|3|2|2|1|2|2|
3|10001|3|10001|10001|3|3|3|10001|3|3|3|10001|10001|2|3|3|3|3|3|10003|10003|10003|10003|10003|10003|10003|10003|3|3|1|1|1|2|3|3|3|10002|10002|10001|10001|3|3|2|1|2|2|2|
10001|10001|3|10001|3|3|3|10001|1|3|3|10002|3|10001|10001|3|3|3|3|3|10003|10003|10003|10003|10003|10003|10003|10003|3|3|3|1|2|3|3|3|3|3|10002|10001|3|3|3|2|2|2|1|2|
3|3|3|3|3|10002|3|1|1|3|10002|10002|3|3|10001|3|3|3|3|1|10003|10003|10003|10003|10003|10003|10003|10003|3|3|3|2|1|1|3|3|3|3|3|3|3|10001|3|1|1|2|2|2|
3|10001|3|3|10002|10002|3|10001|10001|3|10002|10002|10002|3|3|3|3|1|3|3|1|10003|10003|10003|10003|10003|10003|10003|3|3|3|3|3|3|3|3|3|3|10002|10002|10001|10001|3|2|1|2|1|1|
3|3|10001|3|3|10002|3|10001|3|3|3|10002|10002|3|3|10001|10001|10001|1|3|3|3|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3|3|10002|10002|10001|2|3|2|2|1|2|2|
3|10001|10001|10001|3|3|3|3|3|10001|3|3|10002|3|3|3|2|2|10001|1|3|3|3|3|3|3|3|3|10002|10002|3|3|3|10002|3|10002|10002|3|3|10002|2|2|3|3|1|2|2|1|
3|10001|10001|10001|3|3|3|3|10001|10001|3|3|3|3|3|3|3|2|10001|3|3|3|3|3|3|3|3|10002|10002|10002|3|3|3|3|1|1|10002|3|3|3|3|3|3|3|3|1|1|2|
3|3|3|3|3|10001|3|3|3|10001|10001|3|3|3|3|3|3|10001|3|3|2|3|3|3|3|10002|10002|3|3|3|3|10002|3|1|1|1|10002|3|3|1|1|10001|2|2|3|3|3|3|
2|2|10001|10001|3|1|2|3|3|3|10001|3|3|3|3|3|3|3|3|1|2|1|2|3|3|10002|10002|3|3|3|3|10002|10002|3|3|3|1|3|10002|3|1|10001|2|3|3|3|3|3|
2|2|10001|10001|10001|1|2|3|3|3|3|3|3|2|2|3|2|1|3|3|2|1|1|1|3|3|3|3|3|2|3|3|10002|10002|3|3|3|3|10002|3|10002|10002|3|3|10001|1|10001|3|
10001|10001|10001|2|2|10001|3|3|3|3|3|3|3|1|1|1|2|2|1|3|3|3|1|2|3|3|3|3|2|1|3|3|3|10002|10002|3|3|3|3|10002|10002|10002|3|3|2|10001|10001|3|
10001|10001|10001|2|3|3|3|2|10001|1|1|3|3|3|3|3|2|2|2|2|1|3|3|3|3|3|3|3|2|1|1|2|3|2|2|3|3|3|3|3|10002|3|3|3|2|2|3|3|
10001|10001|10001|10001|3|3|10001|2|10001|10001|1|1|1|3|3|3|1|1|2|1|2|3|3|2|3|10002|10002|3|3|2|10002|10002|3|2|2|10002|10002|10002|3|3|10002|10002|3|3|3|3|3|10001|
10001|10001|10001|1|3|2|2|10001|10001|10001|10001|10001|1|3|3|3|3|1|2|1|2|3|2|2|3|10002|10002|3|3|3|3|3|3|3|3|10002|10002|3|3|2|3|3|10002|2|10001|3|10001|3|
10001|10001|1|10001|3|3|10001|10001|10001|10001|10001|3|3|3|2|3|3|3|2|2|3|3|2|3|10002|3|3|3|2|2|2|3|3|1|10002|10002|10001|10001|10001|2|2|3|3|2|2|10001|3|3|
10001|10001|10001|2|2|3|3|1|1|10001|2|3|10001|10001|2|2|3|3|3|1|3|3|3|3|3|10002|10002|3|3|3|2|2|3|1|1|10001|10001|10001|10001|10001|10002|10002|3|3|3|2|2|3|
2|10001|10001|3|3|3|3|3|1|2|2|3|3|3|3|10001|3|3|3|3|3|3|10001|10001|3|10002|2|2|3|3|3|3|3|10002|10002|3|3|3|10001|10001|10002|2|3|3|3|3|2|3|
2|10001|3|3|10001|3|3|3|3|3|3|3|3|3|3|3|3|3|2|2|3|3|3|10001|10001|10001|2|2|3|3|3|3|2|10001|10002|3|3|10001|10001|10001|10002|3|3|3|2|3|10001|10001|
10001|3|3|10001|10001|1|3|3|3|3|3|3|10001|3|10001|10001|3|3|2|2|3|3|3|3|10001|1|1|10001|3|3|3|3|10001|10001|10001|3|10001|10001|2|3|3|3|3|3|2|3|3|10001|
10001|10001|3|10001|10001|1|1|1|10001|3|3|10001|10001|3|3|10001|3|3|3|2|2|3|3|3|3|3|1|10001|3|2|10001|3|2|2|10001|3|3|2|3|3|10002|10001|3|10001|2|2|3|3|
10001|10001|3|3|10001|10001|10001|10001|1|1|3|10001|10001|2|3|3|3|1|2|2|2|1|2|1|3|3|10002|10002|3|10002|10002|3|3|2|10002|10002|3|3|3|10002|10002|3|3|10001|10001|10001|3|3|
2|10001|10001|3|10001|10001|10001|10001|10001|1|3|3|10001|2|3|3|1|2|2|2|1|1|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|10001|10001|3|3|10001|10001|3|3|3|3|
10001|10001|10001|3|3|10001|10001|10001|10001|10001|10001|3|10001|3|3|3|1|1|2|2|1|10001|1|2|1|3|3|3|3|1|2|3|2|3|1|2|2|3|3|3|3|3|10001|3|3|2|1|3|
10001|2|2|2|3|3|10001|10001|10001|2|2|3|3|3|1|3|2|2|1|10001|10001|10001|10001|1|1|1|3|3|2|2|2|1|2|2|2|1|3|3|1|2|1|3|10001|3|3|1|2|3|
2|10001|2|2|3|3|3|3|3|3|3|3|3|3|1|2|2|1|10001|10001|10001|10001|10001|2|2|2|3|3|3|3|3|2|1|2|2|2|3|3|10001|10001|2|3|3|3|3|3|3|3|
